10174009-17         00004000 0254065                                                     090417
10214009-17         00018000 0254301                                                     090416
1022-17             00002400 0254451                                                     090319
1022-17             00002400 0254452                                                     090326
10244009-17         00030000 0254105                                                     090603
10244009-17         00015000 0254274                                                     090406
102515-03           00000720 0246982                                                     090203
102515-03           00000840 0246985                                                     090305
102515-03           00000960 0254622                                                     090312
102515-03           00000720 0254624                                                     090326
102515-08           00000240 0254575                                                     090402
102515-09           00000480 0254687                                                     090312
102515-09           00000360 0254688                                                     090326
102515-13           00000600 0247315                                                     090213
102515-13           00000600 0254720                                                     090320
102515-13           00000600 0254798                                                     090312
102515-14           00000960 0254229                                                     090305
102515-14           00000480 0254818                                                     090402
102515-20           00001440 0246999                                                     090203
102515-20           00001440 0247029                                                     090305
102515-20           00001440 0254585                                                     090326
1042-17             00001900 0249234                                                     080923
1053321-17          00001680 0250278                                                     090324
1053321-17          00001680 0250279                                                     090317
106629-20           00003744 0254868                                                     090319
108203-20           00002560 0249158                                                     090324
108204-20           00001152 0246381                                                     090303
108204-20           00001152 0254842                                                     090324
120091-20           00002500 0254339                                                     090227
120091-20           00002500 0254342                                                     090227
120092-20           00001500 0247397                                                     090216
120092-20           00001500 0248421                                                     090217
120092-20           00002230 0253823                                                     090227
120092-20           00002500 0254491                                                     090410
120406-20           00010000 0242889                                                     081104
120406-20           00002000 0248426                                                     090219
120406-20           00012000 0254508                                                     090410
120519-02           00002500 0245196                                                     090213
120519-02           00002500 0254521                                                     090319
120519-03           00002500 0248479                                                     090219
120519-03           00002500 0248480                                                     090220
120519-03           00015000 0254649                                                     090306
120519-03           00012500 0254738                                                     090401
120519-06           00005000 0245211                                                     090213
120519-07           00007500 0254572                                                     090304
120519-08           00015000 0254582                                                     090304
120519-09           00002500 0254617                                                     090319
120519-11           00002500 0248828                                                     090212
120519-11           00002500 0248838                                                     090220
120519-11           00007500 0254621                                                     090318
